最高承銷價: 不進行篩選
最低總獲利: 10000
狀態: 不進行篩選
符合條件的可申購股票:
股票名稱	承銷價	總獲利	狀態
2756 聯發國際	78.8	26200	已截止
6719 力智	589.0	225000	已截止
3592 瑞鼎	308.0	318000	已截止
6414 樺漢	195.0	16000	已截止
6691 洋基工程	180.0	14500	已截止
2812 台中銀	11.15	10750	已截止
4770 上品	166.0	99000	已截止
6792 詠業	98.0	45000	已截止
6770 力積電	49.88	15320	已截止
4571 鈞興-KY	77.0	13000	已截止
6130 星寶國際	19.0	27000	已截止
4739 康普	90.0	46000	已截止
6761 穩得	68.0	75000	已截止
6457 紘康	125.0	39000	已截止
2881 富邦金	58.9	16700	已截止
2439 美律	72.0	16800	已截止
6190 萬泰科	20.8	12050	已截止
5222 全訊	104.49	55510	已截止
1590 亞德客-KY	718.0	238000	已截止
8444 綠河-KY	78.0	27000	已截止
3483 力致	54.0	24500	已截止
6182 合晶	52.0	24800	已截止
2947 振宇五金	80.0	31500	已截止
6641 基士德-KY	50.0	11500	已截止
6417 韋僑	60.0	20000	已截止
6541 泰福-KY	42.0	11200	已截止
6788 華景電	125.0	66500	已截止
3224 三顧	39.5	12700	已截止
1760 寶齡富錦	70.0	12000	已截止
3533 嘉澤	432.0	281000	已截止
3709 鑫聯大投控	21.0	11750	已截止
1529 樂士	12.6	27800	已截止
2888 新光金	8.2	14250	已截止
5538 東明-KY	36.0	22400	已截止
3707 漢磊	63.9	42100	已截止
6684 安格	88.0	115000	已截止
8109 博大	58.0	15900	已截止
8097 常珵	17.0	17100	已截止
共 38 筆結果
